,tweets,user_name,location,geo,entities,sentiment
0,"Gawat! Kasus Infeksi Covid-19 Tembus 100.000, WFH Bakal Diberlakukan Lagi? ",motorplusweekly,"Jakarta, Indonesia",,"[('Kasus Infeksi', 'PERSON'), ('Tembus', 'GPE'), ('Bakal Diberlakukan Lagi', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1, Emangnya karyawan test covid-19 ke CEO? Kok bisa CEO nutupin hasil karyawannya?Karyawannya cek Fas… ,TeamYuigahama,Jakarta Indonesia,,"[('Kok bisa', 'PERSON'), ('karyawannya?Karyawannya', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,My friend lost her father to COVID-19. Please donate to her family.  Thank you ✨,bane_cc,,,[],"{'neg': 0.113, 'neu': 0.493, 'pos': 0.394, 'compound': 0.6908}"
3,"CG PPHT 2020: Exam (Cancelled), Admit Card, Pattern, Syllabus CG PPHT 2020 Examination has… ",Eduportplus,,,"[('Admit Card', 'PERSON'), ('Pattern', 'NORP'), ('Syllabus CG PPHT', 'PRODUCT'), ('2020', 'CARDINAL'), ('Examination', 'ORG')]","{'neg': 0.0, 'neu': 0.878, 'pos': 0.122, 'compound': 0.2023}"
4,  Pablo Casado pide mando único para combatir el Covid porque llamarlo estado de alarma le h… ,AndrsGa08263745,,,"[('mando único para', 'ORG'), ('de alarma le h…', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5," Hilarious article needs to be retitled, 'Covid virus making the Rich into Socialists' as they wait for more bailouts.",jasoncaro,Texas,,"[('Socialists', 'ORG')]","{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.743}"
6,"""Tkt y'aura pas de 2ème vague du covid""La deuxième vague : ",MoahRikunelOff,Viroflay,,"[(""Tkt y'aura pas de 2ème"", 'WORK_OF_ART')]","{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.2023}"
7,"""If she caught covid during the 2nd chemo cycle her likelihoodof dying was increased..."" so they took the chemo awa… ",Mabel_Mouse_,,,"[('2nd', 'ORDINAL')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,"According to Johns Hopkins, the USA ends 7/27 with 4,294,770 confirmed cases of Covid-19. That is 60,750 more cases… ",Infoseepage,"Bellevue, WA",,"[('Johns Hopkins', 'ORG'), ('USA', 'GPE'), ('7/27', 'CARDINAL'), ('4,294,770', 'CARDINAL'), ('60,750', 'CARDINAL')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,,bolon65348297,,,[],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
10,SPOTLIGHT: How rugby legend Broadhurst Cona beat Covid-19 ,SpotlightNSP,"Cape Town, South Africa",,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
11, Don’t u knew you can only die from covid! This country has gone completely insane!,jan_cam001,,,[],"{'neg': 0.384, 'neu': 0.616, 'pos': 0.0, 'compound': -0.8165}"
12,    The U.S. gov. commits to 300 million doses of a future v… ,Pastor_Gabe,"Junction City, KS",,"[('U.S.', 'GPE'), ('300 million', 'CARDINAL')]","{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.0258}"
13,  Not sure about the vacancies metric. If you were a business that closed due covid and are re… ,KevGwy,"Galway, Ireland",,[],"{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.2411}"
14,"Covid-19 salgını nedeniyle son 24 saatte Hindistan'da 654, Brezilya'da 614, Meksika'da 342 kişi hayatını kaybetti. ",yeni1mecra,iletisim@yeni1mecra.com,,"[('Covid-19 salgını', 'PERSON'), ('24', 'CARDINAL'), (""Hindistan'da 654"", 'PRODUCT'), (""Brezilya'da 614"", 'PRODUCT'), (""Meksika'da 342"", 'FAC'), ('kişi hayatını kaybetti', 'ORG')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
15,#DIRECTO | El 🏥 Marañón lidera un estudio de síndrome inflamatorio en niños con Covid-19,redaccionmedica,España,,"[('| El 🏥 Marañón', 'PERSON'), ('un estudio de síndrome', 'PERSON'), ('niños con', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
16, Yes but Germany has a substantially lower rate of Covid than the UK.#r4today,MaisonGladys,Liguria ,,"[('Germany', 'GPE'), ('Covid', 'PRODUCT')]","{'neg': 0.215, 'neu': 0.663, 'pos': 0.123, 'compound': -0.3377}"
17,"""You've got this"" is probably the most uplifting way to let someone know they've contracted covid.",blurstinshow,Toronto Ontario Canada,,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
18,"Un medicament anti-COVID, testat la Spitalul Toma Ciorbă din Capitală ",pagesmoldova,Chisinau,,"[('Un', 'ORG'), ('Spitalul Toma Ciorbă', 'FAC')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
19, Exactly! Look at what’s happening right now with covid tenders. People are jumping into defence of looter… ,RSZungu87,"KwaZulu-Natal, South Africa ",,[],"{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.3164}"
20,     Tumre kejariwal ne th congress k samane ha… ,mohanhatehypo,India,,"[('kejariwal', 'ORG'), ('congress', 'ORG')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
21,Guwahati: 60 new COVID-19 counselling centres start functioning ,NewsLiveGhy,"Guwahati, India",,"[('60', 'CARDINAL')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
22,"   All of these insane clown posses, from Covid to riots to racist slande… ",TMterrific,Great American Southwest,,"[('Covid', 'GPE')]","{'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.875}"
23,  And I use ffp2 or ffp3 mask if dealing with Covid not a soggy piece of cloth. Those who… ,edwardm98619715,Munich ,,"[('Covid', 'PRODUCT')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
24,My pet for COVID 19 lol ,idjlex,"New York, NY",,"[('COVID', 'ORG')]","{'neg': 0.0, 'neu': 0.641, 'pos': 0.359, 'compound': 0.4215}"
25,  Why disinfect your whole house when COVID is primarily transmitted in an aerosol form and not on surf… ,alaskafatcat,"Alaska, USA",,"[('COVID', 'ORG')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
26, Eso lo dijo un llanito (uno de Gibraltar) en un audio que me pasaron cuando empezó lo del covid 🤣,santibone,A Fire at a Sea Parks,,"[('Eso', 'PERSON'), ('uno de Gibraltar', 'ORG'), ('un', 'ORG'), ('lo del', 'PERSON'), ('🤣', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
27,Combato con 2 tipos de virus:1) El covid-192) La ignorancia de las personas a cerca del covid-19,Rudolf_rap_,El país de las maravillas,,"[('2 tipos', 'MONEY'), ('de las', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
28,"With regard to sharp rise in COVID-19 cases in Jammu&amp; KashmirAs per the orders, tertiary care hospitals in Sringar… ",GulistanNewsTV,Jammu And Kashmir,,"[('Sringar', 'GPE')]","{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.4939}"
29,"  Is not really looking like this covid situation will be leaving soon,I think our gove… ",oladejograce,"Ikorodu, Nigeria",,[],"{'neg': 0.142, 'neu': 0.858, 'pos': 0.0, 'compound': -0.3217}"
30,"ppl,, wala po akong covid ha hehe sinipon lang ako kasi tangina ng nagpaiyak sakin hehehe :-))))))))",ashdrd,National Capital Region,,"[('ppl', 'ORG'), ('wala po akong', 'PERSON'), ('lang ako kasi tangina', 'PERSON')]","{'neg': 0.171, 'neu': 0.714, 'pos': 0.114, 'compound': -0.296}"
31,The Secretary of State for Health Matt Hancock: Stop unnecessary cancer deaths caused by the COVID disruptions and… ,MadAmethyst,,,"[('State', 'ORG'), ('Matt Hancock', 'PERSON'), ('COVID', 'ORG')]","{'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.8402}"
32,If R500 Billion could not create enough jobs what could that R70Bn will do?After COVID we going to owe everyone.,Mr_Mosoeu," Pretoria, South Africa (012)",,"[('Billion', 'PERSON'), ('COVID', 'ORG')]","{'neg': 0.087, 'neu': 0.913, 'pos': 0.0, 'compound': -0.2057}"
33, What a terrible idea!Remind our feckless Chancellor to slash carparking prices then and build more road… ,Head4Heights,Europe,,"[('idea!Remind', 'NORP')]","{'neg': 0.297, 'neu': 0.703, 'pos': 0.0, 'compound': -0.6696}"
34,"      Sir, it's a high request p… ",AparnaGarg19,"इंदिरा पुरम, गाज़ियाबाद",,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
35, The censorship of covid data.  See frontline doctors.,SteveLechner,,,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
36, Yale Doctor!,WillGSmith1,San Diego,,"[('Yale', 'ORG')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
37,"Mask, Protective Suit, Gloves and other Covid protection items for wholesale.A manufacturer in China, looking forw… ",LiuJie15700423,,,"[('Protective Suit', 'ORG'), ('Gloves', 'ORG'), ('Covid', 'NORP'), ('China', 'GPE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
38, Kung wala lang covid e hahaahaha,babybuff_,home,,"[('Kung wala', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
39,"   compañera de una clínica en málaga, tenemos su permiso para la difus… ",paraisoperdido8,,,"[('tenemos su permiso para la difus', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
40,"POLSEK CIKANDE POLRES SERANG, Pastikan Kamtibmas Tetap Kondusif, Aipda Suriat Bhabinkamtibmas Desa Nambo Ilir Kec.… ",CkdHumas,,,"[('Pastikan', 'NORP'), ('Kamtibmas Tetap Kondusif', 'PERSON'), ('Desa Nambo Ilir Kec', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
41,"As of 28 July 2020, 1:35 pm, there are 22 active COVID-19 cases at the Presidential Communications Operations Offic… ",PhilippineStar,Philippines,,"[('28 July 2020', 'DATE'), ('1:35 pm', 'TIME'), ('22', 'CARDINAL'), ('the Presidential Communications Operations Offic', 'ORG')]","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.4019}"
42,Full points on governance in UP to Yogi Adityanath....public feels mark improvement in every sector...good work ple… ,aamadme,,,"[('UP', 'GPE'), ('Yogi Adityanath', 'PERSON')]","{'neg': 0.0, 'neu': 0.842, 'pos': 0.158, 'compound': 0.4588}"
43, My Uncle is COVID Positive and admitted to Shatabdi hospital kandiwali (W). Ward M bed no. 19. We want… ,Rajeev2Rana,,,"[('COVID Positive', 'ORG'), ('Shatabdi', 'LAW'), ('Ward M', 'PERSON'), ('19', 'CARDINAL')]","{'neg': 0.099, 'neu': 0.676, 'pos': 0.225, 'compound': 0.4215}"
44,This is my year of servicing bad debt that I have accumulated over a period of 5 years... The past 5 years can only… ,The_ElecticZulu,"Bloemfontein, South Africa",,"[('5 years', 'DATE'), ('The past 5 years', 'DATE')]","{'neg': 0.25, 'neu': 0.75, 'pos': 0.0, 'compound': -0.7184}"
45, nenek tu tau tak covid suka orang tua 😭,nrwanii_,,,"[('nenek tu tau tak', 'PERSON'), ('suka orang tua', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
46, Trump said it was potentially good and may help people with covid issues and they can never admit he was right,JacqGame,,,"[('Trump', 'PERSON')]","{'neg': 0.063, 'neu': 0.715, 'pos': 0.222, 'compound': 0.6134}"
47,"We do not know many Malaysians carry Covid-19 without symptoms. Now, the authorities allow people to go back to vil… ",Senggiaw,,,"[('Malaysians', 'NORP')]","{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.2263}"
48, Hope she gets Covid,RapidEyeMoveme2,,,[],"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
49, Why the school is open during Covid-19?,xainab_Umair,"Islamabad, Pakistan",,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
50,COVID has literally made me hate my job.,Milan__Monroe,"San Francisco, CA",,"[('COVID', 'ORG')]","{'neg': 0.346, 'neu': 0.654, 'pos': 0.0, 'compound': -0.5719}"
51," Still, those are still wrong, having a thousand people gathering in one place without proper covid protocol.",urwande,,,"[('a thousand', 'CARDINAL'), ('one', 'CARDINAL')]","{'neg': 0.171, 'neu': 0.829, 'pos': 0.0, 'compound': -0.4767}"
52,Data Center Market Analysis Highlights the Impact of COVID-19 (2020-2024) | Rise in Adoption of Edge...… ,dicerod,"Miami, FL",,"[('Data Center Market Analysis', 'ORG'), ('2020-2024', 'DATE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
53, I am sure they use Hydrochloroquine to prevent Covid.,EALStokes,,,"[('Hydrochloroquine', 'ORG'), ('Covid', 'PRODUCT')]","{'neg': 0.0, 'neu': 0.638, 'pos': 0.362, 'compound': 0.34}"
54, Pero se ha hecho la prueba del COVID o no?,jbadenes,,,"[('Pero', 'PERSON'), ('COVID', 'ORG')]","{'neg': 0.19, 'neu': 0.603, 'pos': 0.207, 'compound': 0.0516}"
55,The COVID-19 pandemic and access to public water in Lagos  #vanguardnews ,vanguardngrnews,Nigeria,,"[('Lagos', 'GPE'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
56,The Secretary of State for Health Matt Hancock: Stop unnecessary cancer deaths caused by the COVID disruptions and… ,Vickimcc101,"North West, England",,"[('State', 'ORG'), ('Matt Hancock', 'PERSON'), ('COVID', 'ORG')]","{'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.8402}"
57,Makabugo maning covid oy yawa,biamcst,Republic of the Philippines ,,"[('Makabugo', 'ORG')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
58,‘I didn’t know my brother was dying of COVID in a Florida prison — until the hospital called’ |...… ,izafoodie,"Miami, FL via Trinidad",,"[('COVID', 'ORG'), ('Florida', 'GPE')]","{'neg': 0.171, 'neu': 0.829, 'pos': 0.0, 'compound': -0.5106}"
59,  Pablo Casado pide mando único para combatir el Covid porque llamarlo estado de alarm… ,AndrsGa08263745,,,"[('mando único para', 'ORG')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
60,Sawahlunto sebelumnya zona hijau Covid-19. ,kompascom,Indonesia,,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
61,  In Florida &amp; 1 in Georgia. Both States where COVID’s an raging out of control Fire t… ,Tiggersk8,Northeastern Ontario,,"[('Florida &amp', 'ORG'), ('1', 'CARDINAL'), ('Georgia', 'GPE'), ('COVID', 'ORG')]","{'neg': 0.293, 'neu': 0.707, 'pos': 0.0, 'compound': -0.7003}"
62,Hinds: Still no clear answer where latest COVID-19 cases came from - Loop News Trinidad and Tobago...… ,TriniTweets,"Port of Spain, T&T",,"[('Trinidad', 'GPE'), ('Tobago', 'GPE')]","{'neg': 0.117, 'neu': 0.745, 'pos': 0.138, 'compound': 0.1027}"
63,"FQ:  Strage di Bologna, quest’anno niente corteo per le regole anti Covid. Merola: “Scelta dolorosa, ma abbiamo il… ",MPenikas,,,"[('Scelta', 'NORP'), ('ma abbiamo il', 'PERSON')]","{'neg': 0.119, 'neu': 0.881, 'pos': 0.0, 'compound': -0.3182}"
64,Hinds: Still no clear answer where latest COVID-19 cases came from - Loop News Trinidad and Tobago...… ,izatrini,"Miami, FL",,"[('Trinidad', 'GPE'), ('Tobago', 'GPE')]","{'neg': 0.117, 'neu': 0.745, 'pos': 0.138, 'compound': 0.1027}"
65,"Après le Covid-19, retour à la normale pour les #DRH ? via   ",Olga_ACOUETEY,92 NANTERRE,,"[('Après le Covid-19', 'NORP')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
66,Covid-19 has accelerated digitalization and #datacenter growth. They all need #cooling to ensure a secure data flow… ,efficient_EE,Feldkirchen,,"[('Covid-19', 'ORG'), '']","{'neg': 0.0, 'neu': 0.631, 'pos': 0.369, 'compound': 0.765}"
67,#Covid #Dashboard #ChennaiOnly #13K_peoples are under treatment 🔥🌱✌️ ,Gangatharanvks,"Chennai, India",,[''],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
68,We need more of this...These BRAVE front-line doctors are EXPOSING the truth about the COVID Hoax RIGHT NOW!Docto… ,ColleenKRich,Citizen of Earth,,"[('the COVID', 'ORG')]","{'neg': 0.19, 'neu': 0.54, 'pos': 0.27, 'compound': 0.4688}"
69,    I heard he took advantage of COVID and had a 65% increase,Markisslump,between sherri shepherd's tits,,"[('COVID', 'ORG'), ('65%', 'PERCENT')]","{'neg': 0.0, 'neu': 0.65, 'pos': 0.35, 'compound': 0.5106}"
70,"Hydroxychloroquine is not an effective treatment for COVID-19, according to the FDA  ",DawnMarie817,Los Angeles,,"[('FDA', 'ORG')]","{'neg': 0.188, 'neu': 0.812, 'pos': 0.0, 'compound': -0.3724}"
71,MLB covid cases: Will Cincinnati Reds see an outbreak? | Opinion ,stuartcohen821,"Louisville, Kentucky",,"[('Will Cincinnati Reds', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
72,"MEITY wanted protocol for all governing all COVID-19 data, not just Aarogya Setu: RTI  ",ETTRSS,"Indiana, USA",,"[('Aarogya Setu: RTI', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
73,"¿CÓMO SI NADA? 🚫 Así es como Petare reacciona ante la ""cuarentena radical"" (➕info) 👇🏼  ⬇ ",CaraotaDigital,Caracas - Venezuela,,"[('¿', 'GPE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
74, As I understand it the RNA PCR test cannot distinguish between active live virus and RNA remnants sti… ,martindale567,,,"[('RNA', 'ORG'), ('RNA', 'ORG'), ('sti', 'ORG')]","{'neg': 0.124, 'neu': 0.876, 'pos': 0.0, 'compound': -0.3089}"
75,"Il cantante toscano replica sulle parole pronunciate al convegno: ""Non sono un negazionista, sono un ottimista e ri… ",iltirreno,Livorno,,"[('Il', 'GPE'), ('replica sulle', 'PERSON'), ('pronunciate al convegno', 'PERSON'), ('un', 'ORG')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
76,"As we as community struggle with the tragedies of the Covid crisis, we can learn from  disaster recovery agency… ",Dyslexicpastor,"West yorkshire, england",,"[('Covid', 'NORP')]","{'neg': 0.472, 'neu': 0.528, 'pos': 0.0, 'compound': -0.9246}"
77,"Child malnutrition and COVID-19: the time to act is now  by H Fore, dr Tedros et al.",KristofDecoste1,,,"[('H Fore', 'PERSON'), ('Tedros et al', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
78,Best la pulak bila paham internasional trade. covid 19 effects apa semo. Padu sia,VenicciLaa,"Upper Greenwood Lake, NJ",,"[('19', 'CARDINAL')]","{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.6369}"
79,"Following ATP500 in Tokyo, WTA Toray Pan Pacific Open tennis tournament in Tokyo (scheduled in November) has been c… ",Vestige_du_jour,,,"[('Tokyo', 'GPE'), ('Tokyo', 'GPE'), ('November', 'DATE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
80,Siapa yang mau jadi relawan uji klinis vaksin covid-19? Tim riset uji klinis vaksin Covid-19 Unpad mulai membuka pe… ,Genpi_Co,Indonesia,,"[('Siapa yang mau jadi', 'PERSON'), ('Tim', 'PERSON'), ('Unpad mulai membuka', 'QUANTITY')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
81,       … ,DamianOlko,Warszawa,,[],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
82,"COVID and its response is eugenics. The ""OK Boomer Virus"", comprenden? #Bioterrorism #CCPVirus ",AlexisH13876559,,,"[('COVID', 'ORG'), ('The ""OK Boomer Virus""', 'PRODUCT'), '']","{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.4466}"
83, Nope. My 64 year old mom has busted her ass this entire time going to work at a daycare and has finall… ,BrooklynnC81,"Carmel, IN",,"[('Nope', 'ORG'), ('64 year old', 'DATE')]","{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.5423}"
84,"I saw an ad on Twitter for ""special vision"" glasses that enable the wearer to see Covid in the air. ",badwebsites,,,"[('Twitter', 'WORK_OF_ART'), ('Covid', 'PRODUCT')]","{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.5719}"
85,"Frontline worker, Fought with Covid-19 within me, Donated blood to save life. Battle of the Year. It's a Victory… ",KipenLongkumer,"Kohima, Nagaland",,"[('Frontline', 'ORG'), ('the Year', 'DATE')]","{'neg': 0.212, 'neu': 0.649, 'pos': 0.139, 'compound': -0.1779}"
86,  One more difference is there due to covid...July ending ka pressure nhi h bhaiii..😂,Surbhisukheja1,Gwalior,,"[('One', 'CARDINAL'), ('July', 'DATE')]","{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.296}"
87,  FRAUDCI is being COVID censored!,RoseMalloy5,Ireland and USA,,"[('COVID', 'ORG')]","{'neg': 0.321, 'neu': 0.679, 'pos': 0.0, 'compound': -0.2244}"
88,Ojito con los de  que te venden un seguro con unas condiciones que luego no sean reales! ( habló de cancelac… ,lovg21,,,"[('Ojito con los', 'PERSON'), ('un', 'ORG'), ('habló de cancelac', 'PERSON')]","{'neg': 0.116, 'neu': 0.884, 'pos': 0.0, 'compound': -0.3595}"
89," inviting leaders and teachers to take action, re-imagine education and use Covid-19 as a catalyst for t… ",Feresh99,"South Australia, Australia",,[],"{'neg': 0.0, 'neu': 0.867, 'pos': 0.133, 'compound': 0.3182}"
90,To com uma leve tosse vamos de COVID,iJuau,"Niterói, Brasil",,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
91,And the old man they knocked to the ground. Also Covid? What Covid? ,speechwithease,"San Diego, CA",,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
92,"COVID-19 No Vaccine Needed, There Is Already A Cure - NewsBlaze News#covid #CovidVaccineRace… ",NiravVansia,India,,"[('CovidVaccineRace', 'MONEY')]","{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.296}"
93,"Face-to-face classes, papayagan sa Enero kapag may bakuna laban sa COVID-19",DZAR1026,"ACQ Tower, Makati City, Phil.",,"[('papayagan sa', 'PERSON'), ('Enero kapag', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
94,"Heaven gaining all angels up there mahn, fuck this covid thing, my childhood friend buried by strange people, no fa… ",Danstro_,25 resident,,[],"{'neg': 0.244, 'neu': 0.455, 'pos': 0.302, 'compound': 0.4215}"
95,    maksutnya kan dia udh setuju dan berani juga buat sakit covi… ,ahmaless,dimana aja yg penting nyaman,,"[('dan berani juga', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
96,"Negazionisti del Covid, la replica di Bocelli alle polemiche: 'Accadono cose strane, sono stato fra…  via ",BirbaeEmilia,"Illinois, USA",,"[('Negazionisti del Covid', 'PERSON'), ('la replica', 'FAC'), ('Bocelli', 'FAC')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
97,"The Marlins' COVID-19 outbreak is really bad, and exactly what MLB signed up for  via ",sacollectibles,"san antonio, tx",,"[('Marlins', 'NORP')]","{'neg': 0.213, 'neu': 0.787, 'pos': 0.0, 'compound': -0.5849}"
98,"Trump Pushes Fake COVID Cure From Fringe Doctors, Banned by Facebook  via ",ps9714,"Fort Hood, TX",,[],"{'neg': 0.379, 'neu': 0.621, 'pos': 0.0, 'compound': -0.7269}"
99,"MINHA PRIMA TA COM COVID E EU TAVA COM ELA ESSES DIA, CARA EU TO CHORANDO",__diasssz,🇧🇷,,"[('MINHA PRIMA TA', 'ORG')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
100,  This homophobic person that denies Covid is real has music on your site. I’m assuming yo… ,MintyMoses2019,,,"[('Covid', 'PRODUCT')]","{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.4215}"
101,India has prepared five sites for the final human trials phase of the potential COVID-19 vaccine developed by Oxfor… ,NewsBytesApp,"Gurgaon, Haryana",,"[('India', 'GPE'), ('five', 'CARDINAL'), ('Oxfor', 'NORP')]","{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.2263}"
102, ,BridgetAshmore,,,[],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
103,Oh border y ulang alik tu tak bole bukak. Tkot covid. Y p berhimpun ramai2 tu covid tak datang singgah ke siot. Pen… ,aeenzmohdghzli,JOHOR BAHRU,,"[('y ulang', 'PERSON'), ('alik tu tak bole', 'PERSON'), ('ke siot', 'PERSON'), ('Pen', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
104,My neighbors had rented furniture from there. When I tell you they pulled up ringing my bell like I rented from the… ,TheeArtofJoJo,,,[],"{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.3612}"
105,"Jeden Einreisenden testen. Gepoolte Tests könnten die Kosten dafür senken. In Landkreisen mit größeren Ausbrüchen,… ",sero_01,Hessen Deutschland ,,"[('Jeden Einreisenden', 'PERSON'), ('Gepoolte Tests', 'PERSON'), ('Landkreisen', 'PERSON'), ('Ausbrüchen', 'PERSON')]","{'neg': 0.218, 'neu': 0.782, 'pos': 0.0, 'compound': -0.5994}"
106,"Anyone else lose friends due to Covid? Them not caring that the worlds in a pandemic, and your anxiety saying you n… ",cccaaaiiittt,"New Jersey, USA",,[],"{'neg': 0.259, 'neu': 0.627, 'pos': 0.114, 'compound': -0.4456}"
107,  Y que tal el pendejo del #CacasObrador de #Amlo que NO quiere que le pregunten por los muertos d… ,javier_etac,"Ciudad de México, DF",,"[('los muertos', 'GPE')]","{'neg': 0.147, 'neu': 0.853, 'pos': 0.0, 'compound': -0.4466}"
108,"Et si la petite contre-partie de la liberté de se rassembler, c’était le respect des gestes barrières et l’app Stop… ",icambreleng,France,,[],"{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.4767}"
109,"The Mamelodi Regional Hospital has been renovated in response to the #Covid_19 pandemic, chief executive Dr Naing S… ",IOL,South Africa,,"[('The Mamelodi Regional Hospital', 'ORG'), ('Naing S', 'ORG')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
110, I refuse to be chained by fake science. I have successfully treated over 250 COVID patients with HC… ,Chiquinho_JJ,,,"[('over 250', 'CARDINAL'), ('COVID', 'ORG'), ('HC', 'ORG')]","{'neg': 0.247, 'neu': 0.605, 'pos': 0.149, 'compound': -0.2732}"
